DATE,HOUR,TI,TE,TR
12-10-2020,17:48:24,0.00,22.15,0.00
12-10-2020,17:48:25,0.00,22.15,34.00
12-10-2020,17:48:27,0.00,22.15,34.00
12-10-2020,17:48:28,0.00,22.15,34.00
12-10-2020,17:48:30,0.00,22.15,34.00
12-10-2020,17:48:31,0.00,22.15,34.00
12-10-2020,17:48:33,0.00,22.15,34.00
12-10-2020,17:48:34,0.00,22.15,34.00
12-10-2020,17:48:36,0.00,22.15,34.00
12-10-2020,17:48:37,0.00,22.15,34.00
12-10-2020,17:48:44,0.00,22.15,0.00
12-10-2020,17:48:45,0.00,22.15,34.00
12-10-2020,17:48:47,0.00,22.15,34.00
12-10-2020,17:50:16,0.00,22.15,0.00
12-10-2020,17:50:17,0.00,22.15,0.00
12-10-2020,17:50:19,0.00,22.15,0.00
12-10-2020,17:52:33,0.00,22.15,34.00
12-10-2020,17:52:35,0.00,22.15,34.00
12-10-2020,17:52:36,0.00,22.15,34.00
12-10-2020,17:52:38,0.00,22.15,34.00
